vserver,status,OS,DB,cluster,vhost,DataCenter,vcpu,memory,disk-size,organization,service-id,service-name
sysa21181,運用中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,1,2,40,システム基盤本部,STD1086,サービス1
sysa21182,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,1,2,40,システム基盤本部,STD1086,サービス2
sysa21183,運用中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,2,2,70,ＩＴシステム本部,SYS0116,サービス3
sysa21184,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,2,70,ＩＴシステム本部,SYS0116,サービス4
sysa21185,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,2,2,70,ＩＴシステム本部,SYS0116,サービス5
sysa21186,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,2,70,ＩＴシステム本部,SYS0116,サービス6
sysa21187,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,1,2,40,システム基盤本部,STD1086,サービス7
sysa21188,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,1,2,40,システム基盤本部,STD1086,サービス8
sysa21189,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,2,4,70,システム基盤本部,BSD1771,サービス9
sysa21190,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,4,70,システム基盤本部,BSD1771,サービス10
sysa21191,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,2,4,80,システム基盤本部,BSD1771,サービス11
sysa21192,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,4,80,システム基盤本部,BSD1771,サービス12
sysa21193,運用中,Linux V6 (SL),MySQL,vmcloud901,awsef310121,東京２,1,2,70,システム基盤本部,BSD1771,サービス13
sysa21194,運用中,Linux V6 (SL),MySQL,vmcloud902,awsef310122,東京２,1,2,70,システム基盤本部,BSD1771,サービス14
sysa21195,運用中,Linux V6 (SL),MySQL,vmcloud901,awsef310123,東京２,2,8,400,システム基盤本部,BSD1771,サービス15
sysa21196,運用中,Linux V6 (SL),MySQL,vmcloud902,awsef310124,東京２,2,8,400,システム基盤本部,BSD1771,サービス16
sysa21197,運用中,Linux V6 (SL),-,vmcloud901,awsef310123,東京２,1,2,30,システム基盤本部,BSD1771,サービス17
sysa21198,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,1,2,30,システム基盤本部,BSD1771,サービス18
sysa21201,運用中,Linux V6 (RHEL),-,OSK5F-B6A,awsds219009,東京２,6,12,710,ＩＴシステム本部,BSD1772,サービス19
sysa21202,運用中,Linux V6 (RHEL),-,OSK5F-B6B,awsds219010,東京２,6,12,710,ＩＴシステム本部,BSD1772,サービス20
sysa21203,運用中,RedHat EL5 ES (64),Oracle,OSK5F-B6A,awsds219013,東京２,6,32,200,ＩＴシステム本部,BSD1772,サービス21
sysa21204,運用中,RedHat EL5 ES (64),Oracle,OSK5F-B6B,awsds219014,東京２,6,32,200,ＩＴシステム本部,BSD1772,サービス22
sysa21205,運用中,Linux V6 (SL),-,vmcloud901,awsef310121,東京２,2,4,110,システム基盤本部,BSD1771,サービス23
sysa21206,運用中,Linux V6 (SL),-,vmcloud902,awsef310122,東京２,2,4,110,システム基盤本部,BSD1771,サービス24
sysa21207,運用中,Linux V6 (SL),MySQL,vmcloud901,awsef310121,東京２,2,8,190,ＩＴシステム本部,BSD1772,サービス25
